site,date,sheet,time,transect,station,species,sex,repro,mass,length,tag,nc_rc
noon,2023-07-18,3,,c,2,pele,m,nr,16,145,1773,nc
noon,2023-07-21,1,,c,4,pele,f,p,14.5,135,1774,rc
noon,2023-07-18,3,,c,8,pele,f,nr,15,137,1774,nc
noon,2023-07-20,5,,c,10,pele,f,nr,15,150,1774,rc
noon,2023-07-18,3,,c,11,pele,f,p,18,156,1775,nc
noon,2023-07-20,4,,c,11,pele,f,nr,21.5,145,1775,rc
noon,2023-07-21,1,,c,14,pele,f,p,16,163,1775,rc
noon,2023-07-20,2,,d,16,sihi,f,j,23,139,1781,nc
noon,2023-07-21,4,,d,9,sihi,m,s,109,260,1782,rc
noon,2023-07-20,1,,d,10,sihi,m,s,152.5,260,1782,rc
noon,2023-07-18,1,,d,11,sihi,m,s,103.5,270,1782,nc
noon,2023-07-18,1,,d,12,sihi,m,s,94,250,1783,nc
noon,2023-07-21,4,,d,12,sihi,m,s,94,260,1783,rc
noon,2023-07-18,1,,d,3,sihi,f,nr,109,270,1784,nc
noon,2023-07-19,1,,d,3,sihi,f,nr,93,260,1784,rc
noon,2023-07-21,4,,d,6,sihi,f,p,104,265,1784,rc
noon,2023-07-18,1,,a,3,pele,m,nr,19.5,142,1785,nc
noon,2023-07-21,3,,a,16,pele,m,ss,17,180,1785,rc
noon,2023-07-20,1,,d,2,pele,m,nr,25,135,1785,rc
noon,2023-07-21,3,,d,2,pele,m,ss,23,136,1785,rc
noon,2023-07-20,3,,b,4,glvo,f,p,75,250,1786,nc
noon,2023-07-19,2,,c,8,pele,f,nr,16,135,1787,nc
noon,2023-07-20,4,,c,8,pele,f,nr,15,133,1787,rc
noon,2023-07-21,1,,c,8,pele,f,nr,15.5,151,1787,rc
noon,2023-07-18,2,,a,16,pele,NA,nr,18.5,150,1788,
noon,2023-07-20,2,,a,17,pele,NA,nr,17,147,1788,
noon,2023-07-18,2,,a,20,rano,m,j,31,240,1789,nc
noon,2023-07-19,1,,a,20,rano,m,j,35.5,240,1789,rc
noon,2023-07-21,1,,b,4,pele,m,s,19,142,1790,rc
noon,2023-07-20,3,,b,6,pele,m,ss,18.5,135,1790,rc
noon,2023-07-18,2,,b,8,pele,m,nr,16.5,150,1790,nc
noon,2023-07-21,1,,b,4,pele,f,p,20,154,1791,rc
noon,2023-07-20,3,,b,6,pele,f,p,21,149,1791,rc
noon,2023-07-18,2,,b,7,pele,f,nr,20,121,1791,nc
noon,2023-07-18,2,,b,7,pele,m,nr,21.5,121,1792,nc
noon,2023-07-19,2,,b,8,pele,m,ss,21,154,1792,rc
noon,2023-07-20,3,,b,9,pele,m,ss,20,160,1792,rc
noon,2023-07-18,1,,a,5,pele,f,pl,20,155,1793,nc
noon,2023-07-19,1,,a,6,pele,m,ss,18.5,134,1794,rc
noon,2023-07-18,2,,a,8,pele,m,nr,18.5,150,1794,nc
noon,2023-07-20,2,,a,12,pele,m,ss,18.5,139,1794,rc
noon,2023-07-21,2,,a,12,pele,m,s,18,152,1794,rc
noon,2023-07-20,2,,d,17,pele,m,s,18,150,1795,nc
noon,2023-07-21,6,,d,17,pele,m,s,21,146,1795,rc
noon,2023-07-21,3,,d,16,sihi,m,j,23.5,157,1796,rc
noon,2023-07-18,1,,d,19,sihi,m,j,18.5,135,1796,nc
noon,2023-07-19,1,,d,8,sihi,m,s,106,209,1797,rc
noon,2023-07-21,2,,d,11,sihi,m,s,94,265,1797,rc
noon,2023-07-18,1,,d,19,sihi,m,s,82.5,260,1797,nc
noon,2023-07-20,3,,d,20,sihi,m,s,95.5,270,1797,rc
noon,2023-07-20,1,,d,12,sihi,f,j,36,156,1798,rc
noon,2023-07-21,3,,d,15,sihi,f,j,23,152,1798,rc
noon,2023-07-18,1,,d,18,sihi,f,j,20.5,143,1798,nc
noon,2023-07-20,1,,d,8,sihi,f,nr,79,240,1799,rc
noon,2023-07-19,1,,d,11,sihi,f,nr,81,230,1799,rc
noon,2023-07-18,1,,d,14,sihi,f,p,61,220,1799,nc
noon,2023-07-21,3,,d,6,rano,f,j,23.5,172,1800,rc
noon,2023-07-18,1,,d,18,rano,f,j,18.5,180,1800,nc
noon,2023-07-19,1,,d,20,rano,f,j,20,170,1800,rc
noon,2023-07-18,2,,a,6,pele,f,p,20,126,,
noon,2023-07-21,2,,d,10,sihi,f,na,74,,,
pass,2023-06-08,1,,a,2,pele,m,nr,18.5,144,51,rc
pass,2023-06-09,1,,a,2,pele,m,nr,17,150,51,rc
pass,2023-06-06,1,08:25,a,4,pele,m,nr,19,142,51,nc
pass,2023-06-08,1,,c,10,pele,f,pl,20,157,330,nc
pass,2023-06-09,1,,c,10,pele,f,pl,18.5,151,330,rc
pegg,2023-08-01,1,,d,10,pele,f,p,19,87,1217,nc
pegg,2023-08-02,1,,d,10,pele,f,p,18,101,1217,rc
pegg,2023-08-03,1,,d,10,pele,f,p,17,92,1217,rc
pegg,2023-08-03,1,,b,2,ocmv,m,s,16.5,,1222,nc
pegg,2023-08-02,1,,d,12,pele,m,ss,20.5,146,1232,nc
pegg,2023-08-03,1,,d,12,pele,m,s,19.5,149,1232,rc
pegg,2023-08-03,1,,d,12,pele,m,ss,18,150,1239,nc
pegg,2023-08-01,1,,a,20,divi,m,j,194.5,370,1248,nc
pegg,2023-08-04,1,,b,1,rano,,,,,9911,
pegg,2023-08-01,1,,d,12,pele,m,s,21.5,145,,
pickle,2023-06-20,2,,c,17,pele,m,nr,22,161,154,nc
pickle,2023-06-21,1,,c,17,pele,m,nr,22.5,,154,rc
pickle,2023-06-23,1,,c,17,pele,m,nr,22,160,154,rc
pickle,2023-06-22,1,,c,4,pele,f,nr,25,155,156,rc
pickle,2023-06-23,1,,c,4,pele,f,nr,23.5,157,156,rc
pickle,2023-06-21,1,,c,6,pele,f,nr,28,,156,nc
pickle,2023-06-22,1,,b,13,pego,m,ss,28.5,182,160,
pickle,2023-06-23,1,,b,13,pego,m,nr,28,171,160,
pickle,2023-06-21,1,,b,13,pele,m,ss?,29,,176,nc
pickle,2023-06-22,1,,c,11,pele,f,nr,21.8,159,181,nc
pickle,2023-06-22,1,,b,7,pele,m,nr,26,164,184,nc
pickle,2023-06-23,1,,b,7,pele,m,nr,23,163,184,rc
pickle,2023-06-23,1,,d,20,sihi,f,nr,83,202,190,nc
pickle,2023-06-23,1,,c,8,pego,m,ss?,26.5,175,192,nc
pickle,2023-06-22,1,,c,17,pele,m,nr,31.5,171,194,nc
pickle,2023-06-23,1,,a,3,pego,f,nr,30.5,172,196,rc
pickle,2023-06-22,1,,a,10,pego,m,nr,32.5,185,196,nc
pickle,2023-06-23,1,,d,18,sihi,m,s,140,235,197,nc
pickle,2023-06-20,2,,d,20,sihi,f,nr,113,240,240,nc
pickle,2023-06-21,1,,a,11,pego,f,p,36,185,342,nc
pickle,2023-06-22,1,,d,16,sihi,f,nr,114,230,359,
pickle,2023-06-21,1,,c,3,pego,m,nr,29.5,,380,
pickle,2023-06-23,1,,c,6,pego,m,nr,29,173,380,
pickle,2023-06-23,1,,b,16,pele,f,nr,23,165,381,rc
pickle,2023-06-22,1,,b,19,pele,f,p,23.5,165,381,rc
pickle,2023-06-21,1,,b,20,pele,f,p,22,,381,nc
pickle,2023-06-23,1,,b,17,pele,m,nr,24,150,385,rc
pickle,2023-06-22,1,,b,18,pele,m,nr,24.5,167,385,rc
pickle,2023-06-21,1,,b,19,pele,m,nr,22,,385,nc
pickle,2023-06-21,1,,a,17,rehu,f,p,10,124,520,nc
pickle,2023-06-23,1,,a,19,pele,f,p,27.5,155,526,nc
pickle,2023-06-23,1,,a,18,pego,m,nr,24,153,602,nc
pickle,2023-06-23,1,,a,10,sihi,f,nr,30.5,186,669,nc
pond,2023-06-14,1,,c,6,sihi,f,j,41,155,151,nc
pond,2023-06-15,1,,c,2,sihi,m,nr,91.5,225,153,nc
pond,2023-06-15,1,,c,9,sihi,f,p,140,260,155,
pond,2023-06-15,1,,c,7,sihi,m,j,49,167,158,nc
pond,2023-06-15,2,,c,15,sihi,f,j,157.5,170,159,nc
pond,2023-06-15,3,,d,6,pele,f,j,17.5,140,164,nc
pond,2023-06-16,1,,d,12,pele,f,nr,5,128,164,rc
pond,2023-06-14,1,,a,18,pego,m,nr,24.5,164,165,nc
pond,2023-06-16,1,,c,16,sihi,f,j,22,125,169,nc
pond,2023-06-15,2,,c,19,sihi,f,nr,78.6,195,171,nc
pond,2023-06-16,1,,c,20,sihi,f,j,58,195,171,rc
pond,2023-06-14,1,,c,9,sihi,f,j,35.5,145,301,nc
pond,2023-06-15,3,,d,3,pego,f,pl,33,181,314,nc
pond,2023-06-16,1,,d,3,pego,f,p,32,175,314,rc
pond,2023-06-16,1,,c,17,sihi,m,s,150,270,316,rc
pond,2023-06-14,1,,c,20,sihi,m,s,162.5,275,316,nc
pond,2023-06-15,2,,c,20,sihi,m,s,104.5,260,316,rc
pond,2023-06-15,1,,c,4,sihi,m,j,38,160,319,nc
pond,2023-06-16,1,,b,3,pego,m,nr,24.5,161,328,rc
pond,2023-06-15,1,,b,5,pego,m,nr,25.5,165,328,nc
pond,2023-06-15,2,,c,11,sihi,m,ss,70,208,329,nc
pond,2023-06-15,2,,c,9,sihi,m,j,50.5,164,332,nc
pond,2023-06-14,1,,c,1,sihi,f,p,99,162,337,nc
pond,2023-06-15,1,,c,2,sihi,f,pl,103,160,337,rc
pond,2023-06-16,1,,c,3,sihi,f,p,108,168,337,rc
pond,2023-06-15,2,,c,17,sihi,m,ss,84.3,195,356,nc
pond,2023-06-13,1,,b,13,sihi,f,j,63,205,384,nc
pond,2023-06-16,1,,b,16,sihi,f,nr,69,149,384,rc
pond,2023-06-15,2,,c,14,sihi,f,p,139.5,255,387,nc
pond,2023-06-16,1,,c,14,sihi,f,pl,122.5,265,387,rc
pond,2023-06-14,1,,c,7,sihi,f,j,37.5,150,388,nc
pond,2023-06-14,1,,c,10,sihi,f,p,166.5,245,392,nc
pond,2023-06-14,2,,d,16,pego,m,s,28.5,172,503,nc
pond,2023-06-14,2,,c,19,sihi,f,j,22,160,505,nc
pond,2023-06-14,2,,c,3,sihi,m,j,38,190,508,nc
pond,2023-06-15,1,,c,3,sihi,m,j,37,170,508,rc
pond,2023-06-16,1,,c,19,sihi,f,pl,151,230,512,rc
pond,2023-06-14,2,,c,20,sihi,f,p,161.5,250,512,nc
pond,2023-06-15,3,,d,1,sihi,f,p,161.1,225,512,rc
pond,2023-06-14,2,,c,4,sihi,f,pl,122,265,514,rc
pond,2023-06-13,2,,c,5,sihi,f,pl,124,254,514,nc
pond,2023-06-16,1,,c,5,sihi,f,nr,85.5,235,514,rc
pond,2023-06-13,2,,d,3,pego,f,p,26,150,517,nc
pond,2023-06-14,2,,d,3,pego,f,p,24,154,517,rc
pond,2023-06-16,2,,d,5,pele,f,p,22,151,517,rc
pond,2023-06-14,2,,c,15,sihi,m,s,72,210,518,nc
pond,2023-06-15,2,,c,16,sihi,m,ss,74.5,200,518,rc
pond,2023-06-16,1,,b,14,sihi,m,s,154,253,521,rc
pond,2023-06-15,1,,c,1,sihi,m,s,144.8,255,521,rc
pond,2023-06-14,2,,c,3,sihi,m,s,152,280,521,nc
pond,2023-06-13,2,,c,16,sihi,f,nr,51,210,523,nc
pond,2023-06-13,2,,c,7,sihi,f,j,35,182,525,nc
pond,2023-06-16,1,,d,18,pele,,,26,158,605,nc
pond,2023-06-16,1,,d,4,pele,f,nr,18,149,717,nc
pond,2023-06-16,1,,c,2,sihi,m,nr,187,225,731,nc
pond,2023-06-14,1,,b,6,blbr,,,7,,no tag,
pond,2023-06-15,1,,b,10,mipi,,,26,,,
pond,2023-06-15,1,,b,10,mipe,,,18,,,
pond,2023-06-15,2,,d,12,unkn,,,,,,
pond,2023-06-15,2,,d,18,unkn,,,,,,
rags,2023-05-24,1,,b,6,pele,m,nr,18,145,308,rc
rags,2023-05-23,1,,b,7,pele,m,nr,21,142,308,nc
rags,2023-05-25,1,,b,7,pele,m,nr,20,142,308,rc
rags,2023-05-24,1,,b,13,pele,f,nr,14,130,327,nc
rags,2023-05-25,1,,b,13,pele,f,nr,14,135,327,rc
rags,2023-05-24,1,,d,10,tast,f,nr,138,260,335,nc
rags,2023-05-26,1,,d,11,tast,f,nr,120,265,335,rc
rags,2023-05-26,1,,d,13,tast,,,135,250,336,rc
rags,2023-05-24,1,,d,14,tast,m,nr,135,265,336,nc
rags,2023-05-25,1,,d,20,tast,m,s,120,285,336,rc
rags,2023-05-26,1,,a,8,pele,f,p,17,142,394,nc
rags,2023-05-23,1,,d,2,pele,f,p,20,137,448,nc
rags,2023-05-25,1,,d,6,pele,f,nr,15.5,140,448,rc
rags,2023-05-23,1,,c,9,pele,f,nr,13,128,458,nc
rags,2023-05-25,1,,c,9,pele,f,nr,15,133,458,rc
rags,2023-05-23,1,,d,13,divi,f,j,153,340,459,nc
rags,2023-05-25,1,,b,16,pele,m,nr,13,128,460,nc
rags,2023-05-25,1,,a,3,pele,f,p,19,130,461,nc
rags,2023-05-26,1,,b,4,pele,f,nr,16.5,147,461,rc
rags,2023-05-25,1,,b,5,pele,f,p,19,130,461,rc
rags,2023-05-24,1,,a,15,pele,f,p,20,147,462,nc
rags,2023-05-25,1,,c,20,pele,m,nr,22,162,463,nc
rags,2023-05-26,1,,c,20,pele,m,nr,20.5,155,463,rc
rags,2023-05-25,1,,b,7,pele,f,nr,15,143,464,nc
rags,2023-05-23,1,,b,8,pele,f,p,19,135,464,nc
rags,2023-05-24,1,,b,9,pele,f,pl,18,135,464,rc
rags,2023-05-25,1,,a,3,pele,f,p,21,154,465,nc
rags,2023-05-25,1,,b,5,pele,f,p,21,154,465,rc
rags,2023-05-25,1,,a,11,pele,m,j,12,124,467,rc
rags,2023-05-25,1,,a,11,pele,m,j,2,124,467,nc
rags,2023-05-23,1,,a,17,pele,f,nr,13.5,130,468,nc
rags,2023-05-24,1,,b,18,pele,f,j,13,123,469,nc
rags,2023-05-26,1,,b,18,pele,f,nr,13,126,469,rc
rags,2023-05-25,1,,c,1,pele,m,s,12,126,471,nc
rags,2023-05-24,1,,c,20,pele,f,p,16,138,489,nc
rags,2023-05-26,1,,a,17,pele,m,nr,13.5,135,581,nc
rags,2023-05-26,1,,c,7,pele,m,nr,12.5,120,583,nc
rags,2023-05-24,1,,d,11,glvo,f,nr,48,na,9912,
rags,2023-05-26,1,,d,19,scca,m,s,432,475,9913,
rags,2023-05-25,1,,d,17,pele,f,p,17,125,na,
rags,2023-05-23,1,,c,16,pele,f,p,18.5,127,,
rot,2023-08-16,1,,c,6,pele,m,ss,20,155,1503,nc
rot,2023-08-18,1,,d,5,pele,m,ss,20,153,1503,rc
rot,2023-08-18,1,,d,1,pele,m,ss,24.5,156,1514,nc
rot,2023-08-16,1,,a,10,pele,m,s,23.5,160,1515,nc
rot,2023-08-18,1,,a,10,pele,m,ss,22,149,1515,rc
rot,2023-08-16,1,,d,6,pele,m,ss,23,160,1518,nc
rot,2023-08-19,1,,d,4,pele,m,ss,22,165,1542,rc
rot,2023-08-16,1,,d,5,pele,m,ss,27,169,1542,nc
rot,2023-08-18,1,,d,5,pele,m,ss,21.5,165,1542,rc
rot,2023-08-17,1,,d,7,pele,m,s,22,154,1542,rc
rot,2023-08-17,1,,c,6,pele,f,pl,22,157,1584,rc
rot,2023-08-19,1,,c,6,pele,f,pl,18.5,154,1584,rc
rot,2023-08-18,1,,c,9,pele,f,pl,21,148,1584,rc
rot,2023-08-16,1,,d,9,pele,f,p,22,161,1584,nc
rot,2023-08-18,1,,b,6,pele,m,s,23.5,143,1755,nc
rot,2023-08-19,1,,d,1,pele,m,ss,18,137,1760,nc
rot,2023-08-17,1,,d,19,pele,m,s,26,166,1761,nc
rot,2023-08-17,1,,a,1,pele,f,pl,18,144,1780,
rot,2023-08-17,1,,c,20,blbr,m,s,12.5,105,,
terr,2023-08-18,1,,a,5,tast,f,nr,108,215,1510,nc
terr,2023-08-16,1,,b,14,pele,m,s,22,160,1762,rc
terr,2023-08-15,1,,b,16,pele,m,s,19.5,150,1762,nc
terr,2023-08-17,1,,c,1,pele,m,s,20,150,1762,rc
terr,2023-08-16,1,,c,1,pele,m,s,27,165,1767,nc
terr,2023-08-18,1,,c,11,pele,m,s,25.5,160,1767,rc
terr,2023-08-16,,,a,11,rano,m,s,128,370,1768,nc
zion,2023-08-03,1,,c,6,pele,m,ss,16.5,136,1223,
zion,2023-08-02,1,,c,11,pele,m,ss,22.5,130,1223,rc
zion,2023-08-01,1,,c,16,pele,m,ss,18,135,1223,nc
zion,2023-08-02,1,,a,6,pele,f,j,12.5,126,1236,nc
zion,2023-08-01,1,,a,11,pele,m,ss,22.5,160,1245,nc
zion,2023-08-02,1,,a,11,pele,m,ss,22.5,156,1245,rc
zion,2023-08-03,1,,a,11,pele,m,s,23,157,1245,rc
zion,2023-08-02,1,,c,4,pele,m,ss,17,133,1532,nc
zion,2023-08-04,1,,c,5,pele,m,ss,17.5,139,1532,rc
zion,2023-08-03,1,,c,11,pele,f,p,16.5,157,1537,rc
zion,2023-08-01,1,,c,17,pele,f,p,18.5,156,1537,nc
zion,2023-08-03,1,,c,7,pele,f,j,10.5,115,1543,nc
zion,2023-08-02,1,,a,11,pele,m,s,13,135,1577,nc
zion,2023-08-04,1,,a,11,pele,m,s,15,138,1577,rc
zion,2023-08-03,1,,a,12,pele,m,ss,15,144,1577,rc
zion,2023-08-04,1,,c,1,pele,f,p,19.5,148,1593,nc
zion,2023-08-04,1,,c,10,pele,f,p,24,146,1594,nc
